ALPHACODE,PARKNAME
GWMP,George Washington Memorial Parkway
HAFE,Harpers Ferry NHP
HAFO,Hagerman Fossil Beds NM
HAGR,Hamilton Grange NMem
HALE,Haleakala NP
HAMP,Hampton NHS
HAVO,Hawaii Volcanoes NP
HEHO,Herbert Hoover NHS
HFC,Harpers Ferry Center
HFJC,Harpers Ferry Job Corps Civ Cons Ctr
HOAL,Horace M. Albright Training Center
HOBE,Horseshoe Bend NMP
HOCU,Hopewell Culture NHP
HOFU,Hopewell Furnace NHS
HOME,Homestead NM of America
HOSP,Hot Springs NP
HOVE,Hovenweep NM
HPTC,Historic Preservation Training Center
HSTR,Harry S Truman NHS
HUTR,Hubbell Trading Post NHS
IATR,Ice Age NST
ICAG,Ice Age National Scientific Reserve
ICRC,Intermountain Support Office
ILMI,Illinois & Michigan Canal National Heritage Corridor
IMDE,Denver Support Office
IMRO,Intermountain Region
IMSF,Intermountain Support Office - Santa Fe
INDE,Independence NHP
INDU,Indiana Dunes National Lakeshore
ISRO,Isle Royale NP
JAGA,James A. Garfield NHS
JAME,Jamestown NHS
JAZZ,New Orleans Jazz NHP
JECA,Jewel Cave NM
JEFF,Jefferson National Expansion Memorial
JEFM,Thomas Jefferson Memorial
JELA,Jean Lafitte NHP & PRES
JICA,Jimmy Carter NHS
JODA,John Day Fossil Beds NM
JODR,John D. Rockefeller Jr. Mem. Parkway
JOFI,John Fitzgerald Kennedy NHS
JOFL,Johnstown Flood Nmem
JOMU,John Muir NHS
JOTR,Joshua Tree NP
KAHO,Kaloko-Honokohau NHP
KALA,Kalaupapa NHP
KATM,Katmai NP
KATM,Katmai NPres
KEFJ,Kenai Fjords NP
KEMO,Kennesaw Mountain NBP
KEWE,Keweenaw NHP
KICA,Kings Canyon NP
KIMO,Kings Mountain NMP
KLGO,Klondike Gold Rush NHP
KLSE,Klondike Gold Rush NHP--Seattle Unit
KNRI,Knife River Indian Villages NHS
KOVA,Kobuk Valley NP
LABE,Lava Beds NM
LACH,Lake Chelan NRA
LACL,Lake Clark NP
LACL,Lake Clark NPres
LAME,Lake Mead NRA
LAMR,Lake Meredith NRA
LAVO,Lassen Volcanic NP
LBME,LBJ Memorial Grove on the Potomac
LECL,Lewis & Clark NHT
LIBI,Little Bighorn Battlefield NM
LIBO,Lincoln Boyhood NMem
LIHO,Lincoln Home NHS
LINC,Lincoln Memorial
LIRI,Little River Canyon Npres
LIRO,Little Rock Central High School
LODI,Long Distance Trails Group Office-Santa Fe
LODT,Long Distance Trails Office-Salt Lake City
LONG,Longfellow National Historic Site
LOWE,Lowell NHP
LYJO,Lyndon B. Johnson NHP
MAAC,Maine Acadian Culture Project
MABI,Marsh-Billings-Rockefeller NHP
MACA,Mammoth Cave NP
MALU,Martin Luther King Jr NHS
MANA,Manassas NBP
MANZ,Manzanar NHS
MASI,Manhattan Sites
MAVA,Martin Van Buren NHS
MAWA,Maggie L Walker NHS
MCHO,McLoughlin House NHS
MEAF,US/Mexico Affairs Office
MEVE,Mesa Verde NP
MIMA,Minute Man NHP
MIMI,Minuteman Missile NHS
MISS,Mississippi NRRA
MMBC,Mary McLeod Bethune Council House NHS
MNRR,Missouri National Recreational River
MOCA,Montezuma Castle NM
MOCR,Moores Creek NB
MOJA,Mojave National Preserve
MONO,Monocacy NB
MOPI,Mormon Pioneer NHT
MORA,Mount Rainier NP
MORR,Morristown NHP
MORU,Mount Rushmore Nmem
MRCC,Mississippi River Corridor Study Comm.
MUWO,Muir Woods NM
MWAC,Midwest Archeological Center
MWRO,Midwest Region
MWSO,Midwest Support Office
NABR,Natural Bridges NM
NACC,Francis Scott Key Memorial
NACC,Franklin Delanor Roosevelt Memorial Park
NACC,National Capital Parks-Central
NACE,National Capital Parks-East
NAMA,National Mall
NATC,Natchez NHP
NATR,Natchez Trace NST
NATR,Natchez Trace Parkway
NAVA,Navajo NM
NCR,Museum Resource Center
NCRC,Northeast Cultural Resources Center
NCRC,National Center for Recreation and Conservation
NCRO,National Capital Region
NCSO,National Capital Support Office
NEBE,New Bedford Whaling NHP
NEJE,New Jersey Coastal Heritage Trail Route
NEPE,Nez Perce NHP
NERI,New River Gorge NR
NERO,Northeast Region
NERO,NER Land Resources Program Center
NICO,Nicodemus NHS
NIFC,Fire Management Program Center
NIOB,Niobrara National Scenic River
NISI,Ninety Six NHS
NOAT,Noatak Npres
NOCA,North Cascades NP
NOCO,North Country NST
none,Great Egg Harbor Scenic &RR
none,Pinelands National Reserve
NPS,Office of Equal Employment Opportunity
NPS,Office of External Affairs
NPS,Office of Legislative & Congressional Affairs
NPS,Office of Policy
NPS,Office of Communications
NPS,Office of Special Programs
NPS,Office of the American Indian Liaison
NPS,Office of the Director
NPS,Office of International Affairs
NPSA,National Park of American Samoa
NRLO,New River Gorge Land Acq. Proj. Office
NWAK,Western Arctic National Parklands
OBRI,Obed Wild and Scenic River
OCJO,Oconaluftee Job Corps Civ. Cons. Center
OCMU,Ocmulgee NM
OFIE,Federal Law Enforcement Training Center
OKCI,Oklahoma City National Memorial
OLYM,Olympic NP
OPOT,Old Post Office Observation Tower
ORCA,Oregon Caves NM
OREG,Oregon NHT
ORPI,Organ Pipe Cactus NM
OVVI,Overmountain Victory NHT
OZAR,Ozark National Scenic Riverways
PAAL,Palo Alto Battlefield NHS
PAAV,Pennsylvania Avenue NHS
PAIS,Padre Island NS
PECO,Pecos NHP
PEFO,Petrified Forest NP
PERI,Pea Ridge NMP
PETE,Petersburg NB
PETR,Petroglyph NM
PEVI,Perry's Victory & Internatl Peace Mem.
PGSO,Pacific Great Basin Support Office
PHSO,Philadelphia Support Office
PIMA,Hohokam Pima NM
PINN,Pinnacles NM
PIPE,Pipestone NM
PIRO,Pictured Rocks NL
PISC,Piscataway Park
PISO,Pacific Islands Support Office
PISP,Pipe Spring NM
POEX,Pony Express NHT
POGR,Poplar Grove National Cemetery
POHE,Potomac Heritage NST
POPO,Poverty Point NM
PORE,Point Reyes NS
PRES,Presidio of San Francisco
PRPA,President's Park
PRWI,Prince William Forest Park
PUHE,Puukohola Heiau NHS
PUHO,Pu'uhonua o Honaunau NHP
PWRO,Pacific West Region
RABR,Rainbow Bridge NM
REDW,Redwood NP
RICH,Richmond NBP
RIGR,Rio Grande WSR
