ParkName,Rank,Value,PercentOfTotal
Boston African American NHS,134,"419,585",0.13%
Fort McHenry NM & HS,135,"419,545",0.13%
Pu'uhonua o Honaunau NHP,136,"414,410",0.13%
Flight 93 NMEM,137,"411,226",0.13%
Channel Islands NP,138,"409,630",0.13%
Wolf Trap NP for the Performing Arts,139,"402,580",0.12%
Wright Brothers NMEM,140,"400,135",0.12%
Colorado NM,141,"397,032",0.12%
Fire Island NS,142,"391,311",0.12%
Montezuma Castle NM,143,"376,254",0.11%
Mississippi NRRA,144,"374,682",0.11%
Fort Pulaski NM,145,"374,290",0.11%
Shiloh NMP,146,"360,989",0.11%
Kenai Fjords NP,147,"356,601",0.11%
Prince William Forest Park,148,"339,693",0.10%
Salem Maritime NHS,149,"339,238",0.10%
Piscataway Park,150,"329,729",0.10%
Vanderbilt Mansion NHS,151,"326,822",0.10%
Fort Necessity NB,152,"312,104",0.10%
Harpers Ferry NHP,153,"299,577",0.09%
Dinosaur NM,154,"298,965",0.09%
Catoctin Mountain Park,155,"296,846",0.09%
Petroglyph NM,156,"293,957",0.09%
San Juan Island NHP,157,"292,507",0.09%
Antietam NB,158,"287,343",0.09%
Stones River NB,159,"284,516",0.09%
Paterson Great Falls NHP,160,"276,985",0.08%
Craters of the Moon NM & PRES,161,"272,224",0.08%
Morristown NHP,162,"271,330",0.08%
Lewis & Clark NHP,163,"270,993",0.08%
Federal Hall NMEM,164,"264,849",0.08%
Organ Pipe Cactus NM,165,"263,186",0.08%
Kings Mountain NMP,166,"262,031",0.08%
Big Thicket NPRES,167,"255,926",0.08%
Fort Donelson NB,168,"254,431",0.08%
Bighorn Canyon NRA,169,"249,659",0.08%
Fort Raleigh NHS,170,"248,139",0.08%
LBJ Memorial Grove on the Potomac,171,"244,246",0.07%
Little Bighorn Battlefield NM,172,"241,304",0.07%
Apostle Islands NL,173,"240,613",0.07%
Abraham Lincoln Birthplace NHP,174,"238,226",0.07%
Petersburg NB,175,"235,691",0.07%
Voyageurs NP,176,"232,974",0.07%
Kaloko Honokohau NHP,177,"232,921",0.07%
Sitka NHP,178,"232,876",0.07%
Wilson's Creek NB,179,"232,838",0.07%
River Raisin NBP,180,"226,354",0.07%
Guilford Courthouse NMP,181,"223,900",0.07%
Cowpens NB,182,"223,413",0.07%
Obed W&SR,183,"221,301",0.07%
Nez Perce NHP,184,"216,068",0.07%
Upper Delaware S&RR,185,"215,537",0.07%
Fort Frederica NM,186,"212,330",0.06%
Bandelier NM,187,"200,741",0.06%
Lincoln Home NHS,188,"197,816",0.06%
Richmond NBP,189,"197,242",0.06%
John Day Fossil Beds NM,190,"197,091",0.06%
Allegheny Portage Railroad NHS,191,"189,189",0.06%
Guadalupe Mountains NP,192,"188,833",0.06%
De Soto NMEM,193,"187,880",0.06%
Fort Caroline NMEM,194,"187,658",0.06%
Adams NHP,195,"187,400",0.06%
Wupatki NM,196,"187,059",0.06%
Johnstown Flood NMEM,197,"183,143",0.06%
Natchez NHP,198,"182,123",0.06%
Pinnacles NP,199,"177,224",0.05%
Little Rock Central High School NHS,200,"168,918",0.05%
Scotts Bluff NM,201,"166,007",0.05%
Congaree NP,202,"159,445",0.05%
El Malpais NM,203,"158,924",0.05%
Walnut Canyon NM,204,"152,333",0.05%
Theodore Roosevelt Island,205,"151,500",0.05%
Palo Alto Battlefield NHP,206,"149,733",0.05%
Devils Postpile NM,207,"147,864",0.05%
Home of Franklin D. Roosevelt NHS,208,"147,109",0.04%
Ocmulgee Mounds NHP,209,"146,925",0.04%
Saratoga NHP,210,"145,118",0.04%
Monocacy NB,211,"144,969",0.04%
New Bedford Whaling NHP,212,"143,427",0.04%
George Rogers Clark NHP,213,"140,130",0.04%
George Washington Birthplace NM,214,"139,666",0.04%
Lincoln Boyhood NMEM,215,"138,714",0.04%
Pu'ukohola Heiau NHS,216,"133,573",0.04%
Virgin Islands NP,217,"133,398",0.04%
Great Basin NP,218,"131,802",0.04%
Coronado NMEM,219,"130,328",0.04%
Missouri NRR,220,"129,280",0.04%
Greenbelt Park,221,"128,702",0.04%
Minuteman Missile NHS,222,"125,776",0.04%
Herbert Hoover NHS,223,"125,688",0.04%
Fort Smith NHS,224,"125,500",0.04%
Pennsylvania Avenue NHS,225,"125,035",0.04%
Jewel Cave NM,226,"123,489",0.04%
Perry's Victory & Intl. Peace MEM,227,"121,325",0.04%
Gauley River NRA,228,"119,282",0.04%
